9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
9.282114029347696693e-01,-9.560259567919579538e-02,2.690716859064664623e-01,4.580662426603152038e-01,4.339979570090251038e-01,5.872048050690856780e-01,5.069631224762120025e-01
